# Simplified netlist  (638 components, 741 nets)
# source: c:\Users\me\Downloads\MB1939.net

== COMPONENTS ==
B1    SW_BLACK_KSC321JLFS KSC3  SWI_C&K_KSC321JLFS  Switch tactile
R107  Resistor 5K1              R0402               Resistor
R108  Resistor 5K1              R0402               Resistor
R109  Resistor 3K               R0402               Resistor
R110  Resistor 100R             R0402               Resistor
R111  Resistor 1K               R0402               Resistor
R112  Resistor 0R               R0402               Resistor
R113  Resistor 5K1              R0402               Resistor
R114  Resistor 33R              R0402               Resistor
R115  Resistor 10K              R0402               Resistor
R116  Resistor 0R               R0402               Resistor
R117  Resistor 0R               R0402               Resistor
R118  Resistor 100K             R0402               Resistor
R119  Resistor 10K              R0402               Resistor
R120  Resistor 100K             R0402               Resistor
R121  Resistor 10K              R0402               Resistor
R122  Resistor 33R              R0402               Resistor
R123  Resistor 3K9              R0402               Resistor
R124  Resistor 3K               R0402               Resistor
R125  Resistor 100K             R0402               Resistor
R126  Resistor 1K3              R0402               Resistor
R127  Resistor 1K8              R0402               Resistor
R128  Resistor 3K9              R0402               Resistor
R129  Resistor 820R             R0603               Resistor
R130  Resistor 0R               R0603               Resistor
R131  Resistor 330R             R0402               Resistor
R132  Resistor 560R             R0402               Resistor
R133  Resistor 24K              R0402               Resistor
R134  Resistor 1M               R0402               Resistor
R135  Resistor 75K              R0402               Resistor
R136  Resistor 0R               R0603               Resistor
R137  Resistor 0R               R0402               Resistor
R138  Resistor 10K              R0402               Resistor
R139  Resistor 10K              R0402               Resistor
R140  Resistor 10K              R0402               Resistor
R141  Resistor 0R               R0402               Resistor
R142  Resistor 10K              R0402               Resistor
R143  Resistor 10K              R0402               Resistor
R144  Resistor 10K              R0402               Resistor
R145  Resistor 0R               R0603               Resistor
R146  Resistor 0R               R0402               Resistor
R147  Resistor 0R               R0603               Resistor
R148  Resistor 0R               R0805               Resistor
R149  Resistor 1K5              R0402               Resistor
R150  Resistor 100K             R0402               Resistor
R151  Resistor 10K              R0402               Resistor
R152  Resistor 140K             R0402               Resistor
R153  Resistor 1K5              R0402               Resistor
R154  Resistor 0R               R0402               Resistor
R155  Resistor 0R               R0402               Resistor
R156  Resistor 2K2              R0402               Resistor
R157  Resistor 422K             R0402               Resistor
R158  Resistor 150K             R0402               Resistor
R159  Resistor 0R               R0805               Resistor
R160  Resistor 22R              R0402               Resistor
R161  Resistor 22R              R0402               Resistor
R162  Resistor 22R              R0402               Resistor
R163  Resistor 0R               R0805               Resistor
R164  Resistor 20R              R0603               Resistor
R165  Resistor 20R              R0603               Resistor
R166  Resistor 22R              R0402               Resistor
R167  Resistor 0R               R0603               Resistor
R168  Resistor 50mR             R0603               Resistor
R169  Resistor 22R              R0402               Resistor
R170  Resistor 0R               R0402               Resistor
R171  Resistor 0R               R0402               Resistor
R172  Resistor 22R              R0402               Resistor
R173  Resistor 0R               R0603               Resistor
R174  Resistor 4K7              R0402               Resistor
R175  Resistor 4K7              R0402               Resistor
R176  Resistor 4K7              R0402               Resistor
R177  Resistor 4K7              R0402               Resistor
R178  Resistor 4K7              R0402               Resistor
R179  Resistor 0R               R0603               Resistor
R180  Resistor 22R              R0402               Resistor
R181  Resistor 22R              R0402               Resistor
R182  Resistor 22R              R0402               Resistor
R183  Resistor 22R              R0402               Resistor
R184  Resistor 22R              R0402               Resistor
R185  Resistor 22R              R0402               Resistor
R186  Resistor 1K5              R0402               Resistor
R187  Resistor 0R               R0603               Resistor
R188  Resistor 330mR            R0603               Resistor
R189  Resistor 0R               R0402               Resistor
R190  Resistor 510R             R0402               Resistor
R191  Resistor 4K7              R0402               Resistor
R192  Resistor 24K              R0402               Resistor
R193  Resistor 100K             R0402               Resistor
R194  Resistor 4K7              R0402               Resistor
R195  Resistor 4K7              R0402               Resistor
R196  Resistor 22R              R0402               Resistor
R197  Resistor 10K              R0402               Resistor
R198  Resistor 0R               R0402               Resistor
R199  Resistor 0R               R0603               Resistor
R200  Resistor 1K5              R0402               Resistor
R201  Resistor 100K             R0402               Resistor
R202  Resistor 0R               R0402               Resistor
R203  Resistor 22R              R0402               Resistor
R204  Resistor 1K5              R0402               Resistor
R205  Resistor 0R               R0402               Resistor
R206  Resistor 0R               R0402               Resistor
R207  Resistor 10K              R0402               Resistor
R208  Resistor 2K49             R0402               Resistor
R209  Resistor 0R               R0603               Resistor
R210  Resistor 100K             R0402               Resistor
R211  Resistor 680R             R0402               Resistor
R212  Resistor 270R             R0402               Resistor
R213  Resistor 47K              R0402               Resistor
R214  Resistor 22K              R0603               Resistor
R215  Resistor 100K             R0402               Resistor
R216  Resistor 47K              R0402               Resistor
R217  Resistor 330R             R0402               Resistor
R218  Resistor 510R             R0402               Resistor
R219  Resistor 510R             R0402               Resistor
R220  Resistor 2R               R0402               Resistor
R221  Resistor 10K              R0402               Resistor
R222  Resistor 10K              R0402               Resistor
R223  Resistor 1M               R0402               Resistor
R224  Resistor 10K              R0402               Resistor
R225  Resistor 10K              R0402               Resistor
R226  Resistor 0R               R0402               Resistor
R227  Resistor 0R               R0402               Resistor
R228  Resistor 1M3              R0402               Resistor
R229  Resistor 1M3              R0402               Resistor
SB1   SB_ON 0R                  SOLDER-BRIDGE_R060  Resistor
SB2   SB_ON 0R                  SOLDER-BRIDGE_R060  Resistor
SB3   SB_ON 0R                  SOLDER-BRIDGE_R040  Resistor
SB4   SB_ON 0R                  SOLDER-BRIDGE_R060  Resistor
SB5   SB_ON 0R                  SOLDER-BRIDGE_R060  Resistor
SB6   SB_ON 0R                  SOLDER-BRIDGE_R040  Resistor
SB7   SB_ON 0R                  SOLDER-BRIDGE_R040  Resistor
SB8   SB_ON 0R                  SOLDER-BRIDGE_R040  Resistor
SB9   SB_ON 0R                  SOLDER-BRIDGE_R060  Resistor
SB10  SB_ON 0R                  SOLDER-BRIDGE_R060  Resistor
SB11  SB_ON 0R                  SOLDER-BRIDGE_R060  Resistor
SB12  SB_ON 0R                  SOLDER-BRIDGE_R060  Resistor
SB13  SB_ON 0R                  SOLDER-BRIDGE_R060  Resistor
SB14  SB_ON 0R                  SOLDER-BRIDGE_R060  Resistor
